sku,category,sub_category,product_name,brand_name,high_price,low_price,tax,date_scrapped
12969,Mercearia,Massas e molhos,Molho de Tomate Heinz Tradicional Pouch com 300g,Heinz,3.59,3.49,0.0,2024-11-01
38763,Mercearia,Massas e molhos,Molho de Tomate Salsaretti Tradicional Pouch com 300g,Salsaretti,1.89,1.69,0.0,2024-11-01
13480,Mercearia,Massas e molhos,Molho de Tomate Salsaretti Passata Rústica Vidro com 680g,Salsaretti,12.99,12.49,0.0,2024-11-01
12948,Mercearia,Massas e molhos,Molho de Tomate Heinz Manjericão Pouch com 300g,Heinz,4.78,4.78,0.0,2024-11-01
12942,Mercearia,Massas e molhos,Molho de Tomate Heinz Bolonhesa Pouch com 300g,Heinz,4.89,4.69,0.0,2024-11-01
36732,Limpeza,Limpeza de cozinha,Detergente Líquido Ypê Neutro Frasco com 500ml,Ypê,2.39,2.19,0.0,2024-11-01
36708,Limpeza,Limpeza de cozinha,Detergente Líquido Ypê Clear Frasco com 500ml,Ypê,2.39,2.19,0.0,2024-11-01
36410,Limpeza,Limpeza de cozinha,Detergente Líquido Limpol Neutro Frasco com 500ml,Limpol,2.09,1.99,0.0,2024-11-01
36362,Limpeza,Limpeza de cozinha,Detergente Líquido Limpol Coco Frasco com 500ml,Limpol,2.09,1.99,0.0,2024-11-01
28319,Higiene e perfumaria,Higiene bucal,Creme Dental Colgate Máxima Proteção Anticáries Tubo com 90g,Colgate,3.89,3.64,0.0,2024-11-01
28585,Higiene e perfumaria,Higiene bucal,Creme Dental Colgate Tripla Ação Original Tubo com 90g,Colgate,4.44,4.24,0.0,2024-11-01
28697,Higiene e perfumaria,Higiene bucal,Creme Dental Oral-B 1-2-3 Tubo com 70g,Oral-B,2.29,2.29,0.0,2024-11-01
28745,Higiene e perfumaria,Higiene bucal,Creme Dental Oral-B 4 em 1 Tubo com 70g,Oral-B,3.58,3.58,0.0,2024-11-01
12460,Bebidas,Cervejas,Cerveja Heineken Lata com 269ml,Heineken,3.49,3.49,0.0,2024-11-01
13362,Bebidas,Cervejas,Cerveja Stella Artois Long neck com 330ml,Stella Artois,5.39,5.29,0.0,2024-11-01
13351,Bebidas,Cervejas,Cerveja Spaten Puro Malte Lata com 350ml,Spaten,4.35,4.25,0.0,2024-11-01
12498,Bebidas,Cervejas,Cerveja Heineken Zero Long neck com 330ml,Heineken,5.49,5.49,0.0,2024-11-01
13164,Bebidas,Cervejas,Cerveja Puro Malte Spaten Lata com 269ml,Spaten,2.99,2.99,0.0,2024-11-01
12490,Bebidas,Cervejas,Cerveja Heineken Zero Lata com 269ml,Heineken,3.49,3.49,0.0,2024-11-01
12389,Bebidas,Cervejas,Cerveja Estrella Galicia Lata com 350ml,Estrella Galicia,4.59,4.39,0.0,2024-11-01
12385,Bebidas,Cervejas,Cerveja Estrella Galicia Lata com 269ml,Estrella Galicia,3.29,3.09,0.0,2024-11-01
13356,Bebidas,Cervejas,Cerveja Spaten Puro Malte Long Neck com 355ml,Spaten,5.49,5.29,0.0,2024-11-01
12880,Bebidas,Cervejas,Cerveja Patagonia Amber Lager Lata com 350ml,Patagonia,5.69,5.49,0.0,2024-11-01
34777,Limpeza,Limpeza de casa,Limpador Perfumado Concentrado Coala Cereja e Avelã Frasco com 120ml,Coala,10.49,9.99,0.0,2024-11-01
1187,Mercearia,Massas e molhos,Macarrão com Ovos Dona Benta Espaguete Pacote com 500g,Dona Benta,3.59,3.19,0.0,2024-11-01
1061,Mercearia,Massas e molhos,Macarrão com Ovos Adria Espaguete Pacote com 500g,Adria,3.69,3.39,0.0,2024-11-01
