data,codigo,simbolo,tipo,compra,venda
2012023,220,A,USD,"5,343","5,3436"
3012023,220,A,USD,"5,3753","5,3759"
4012023,220,A,USD,"5,4453","5,4459"
5012023,220,A,USD,"5,402","5,4026"
6012023,220,A,USD,"5,2849","5,2855"
9012023,220,A,USD,"5,2961","5,2967"
10012023,220,A,USD,"5,2389","5,2395"
11012023,220,A,USD,"5,2014","5,202"
12012023,220,A,USD,"5,1394","5,14"
13012023,220,A,USD,"5,114","5,1146"
16012023,220,A,USD,"5,1109","5,1115"
17012023,220,A,USD,"5,1197","5,1203"
18012023,220,A,USD,"5,0903","5,0909"
19012023,220,A,USD,"5,2138","5,2144"
20012023,220,A,USD,"5,198","5,1986"
23012023,220,A,USD,"5,1916","5,1922"
24012023,220,A,USD,"5,169","5,1696"
25012023,220,A,USD,"5,1036","5,1042"
26012023,220,A,USD,"5,0945","5,0951"
27012023,220,A,USD,"5,0761","5,0767"
30012023,220,A,USD,"5,0953","5,0959"
31012023,220,A,USD,"5,0987","5,0993"
1022023,220,A,USD,"5,0715","5,0721"
2022023,220,A,USD,"4,9895","4,9901"
3022023,220,A,USD,"5,1024","5,103"
6022023,220,A,USD,"5,1757","5,1763"
7022023,220,A,USD,"5,1689","5,1695"
8022023,220,A,USD,"5,203","5,2036"
9022023,220,A,USD,"5,2309","5,2315"
10022023,220,A,USD,"5,252","5,2526"
13022023,220,A,USD,"5,1828","5,1834"
14022023,220,A,USD,"5,1501","5,1507"
15022023,220,A,USD,"5,2237","5,2243"
16022023,220,A,USD,"5,2426","5,2432"
17022023,220,A,USD,"5,2006","5,2012"
22022023,220,A,USD,"5,1724","5,173"
23022023,220,A,USD,"5,1324","5,133"
24022023,220,A,USD,"5,1785","5,1791"
27022023,220,A,USD,"5,1954","5,196"
28022023,220,A,USD,"5,2072","5,2078"
1032023,220,A,USD,"5,2064","5,207"
2032023,220,A,USD,"5,2074","5,208"
3032023,220,A,USD,"5,2031","5,2037"
6032023,220,A,USD,"5,1964","5,197"
7032023,220,A,USD,"5,1895","5,1901"
8032023,220,A,USD,"5,1381","5,1387"
9032023,220,A,USD,"5,1347","5,1353"
10032023,220,A,USD,"5,1816","5,1822"
13032023,220,A,USD,"5,2394","5,24"
14032023,220,A,USD,"5,2356","5,2362"
15032023,220,A,USD,"5,2975","5,2981"
16032023,220,A,USD,"5,2886","5,2892"
17032023,220,A,USD,"5,2673","5,2679"
20032023,220,A,USD,"5,2461","5,2467"
21032023,220,A,USD,"5,2438","5,2444"
22032023,220,A,USD,"5,2642","5,2648"
23032023,220,A,USD,"5,2626","5,2632"
24032023,220,A,USD,"5,2915","5,2921"
27032023,220,A,USD,"5,23","5,2306"
28032023,220,A,USD,"5,1727","5,1733"
29032023,220,A,USD,"5,1487","5,1493"
