nome_instituicao,nome_conglomerado,data_extracao,nome_instituicao_oficial,score_match
BANCO ABC BRASIL,BANCO ABC BRASIL S.A.,2026-07-21,BANCO ABC BRASIL S.A.,100.0
BANCO BRADESCO,BANCO BRADESCO S.A.,2026-07-21,BANCO BRADESCO BBI S.A.,100.0
BANCO BS2,BANCO BS2 S.A.,2026-07-21,BANCO BS2 S.A.,100.0
BANCO DAYCOVAL,BANCO DAYCOVAL S.A.,2026-07-21,BANCO DAYCOVAL S.A.,100.0
BANCO DO BRASIL,BANCO DO BRASIL S.A.,2026-07-21,BANCO DO BRASIL S.A.,100.0
BANCO GUANABARA,BANCO GUANABARA S.A.,2026-07-21,BANCO GUANABARA S.A.,100.0
BANCO MASTER,ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.,2026-07-21,ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.,54.5
BANCO MAXIMA,BANCO DE RORAIMA S.A.,2026-07-21,BANCO DE RORAIMA S.A.,61.5
BANCO SOFISA,BANCO SOFISA S.A.,2026-07-21,BANCO SOFISA S.A.,100.0
BCO BMG,BANCO BMG S.A.,2026-07-21,BANCO BMG CONSIGNADO S.A.,100.0
ITAU UNIBANCO,ITAÚ UNIBANCO S.A.,2026-07-21,ITAÚ UNIBANCO HOLDING S.A.,100.0
NU FINANCEIRA SA SOCIEDADE CFI,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2026-07-21,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",100.0
NU FINANCEIRA SA SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2026-07-21,"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",100.0
PICPAY BANK BANCO MULTIPLO,PICPAY BANK - BANCO MÚLTIPLO S.A,2026-07-21,PICPAY BANK - BANCO MÚLTIPLO S.A,100.0
