Produto,Unidade,Qtd,Preço,Mês Atual,Peso,Categoria,Mes,Ano,Mês passado,Var,Var Peso
Arroz,Fardo 5Kg,2.0,25.31,50.61,2.62%,Alimentos,10,2023,,,
Feijão Preto,Pacote 1KG,3.0,6.85,20.54,1.06%,Alimentos,10,2023,,,
Açucar,Pacote 1KG,4.0,4.41,17.63,0.91%,Alimentos,10,2023,,,
Sal,Pacote 1KG,1.0,2.34,2.34,0.12%,Alimentos,10,2023,,,
Café,Pacote 500g,3.0,15.03,45.09,2.33%,Alimentos,10,2023,,,
Leite,caixa 1 Litro,36.0,4.08,147.0,7.60%,Alimentos,10,2023,,,
Pão de Forma,Pacote 500g,10.0,4.91,49.07,2.54%,Alimentos,10,2023,,,
Óleo,Garrafa 900ml,2.0,9.33,18.65,0.96%,Alimentos,10,2023,,,
Ovo,Caixa c/ 20,3.0,12.03,36.08,1.87%,Alimentos,10,2023,,,
Batata,kg,5.0,3.56,17.78,0.92%,Alimentos,10,2023,,,
Laranja,kg,3.0,4.99,14.97,0.77%,Alimentos,10,2023,,,
Limão,kg,3.0,5.59,16.77,0.87%,Alimentos,10,2023,,,
Banana,kg,12.0,7.29,87.48,4.52%,Alimentos,10,2023,,,
Peito de Frango,kg,6.5,17.1,111.15,5.74%,Alimentos,10,2023,,,
Coxa de Frango,kg,6.5,11.2,72.82,3.76%,Alimentos,10,2023,,,
Alcatra,kg,5.0,38.9,194.48,10.05%,Alimentos,10,2023,,,
Coxão Mole,kg,5.0,35.93,179.65,9.29%,Alimentos,10,2023,,,
Pernil,kg,3.0,17.23,51.7,2.67%,Alimentos,10,2023,,,
Cebola,kg,3.0,6.46,19.38,1.00%,Alimentos,10,2023,,,
Bisteca,kg,3.0,15.69,47.07,2.43%,Alimentos,10,2023,,,
Filé de Merluza,kg,2.0,39.16,78.33,4.05%,Alimentos,10,2023,,,
Tilapia,kg,2.0,41.96,83.91,4.34%,Alimentos,10,2023,,,
Alface,Maço,15.0,3.59,53.85,2.78%,Alimentos,10,2023,,,
Tomate,kg,10.0,8.26,82.63,4.27%,Alimentos,10,2023,,,
Alho,kg,0.5,19.77,9.88,0.51%,Alimentos,10,2023,,,
Refrigerante,Garrafa 2 litros,4.0,8.94,35.78,1.85%,Alimentos,10,2023,,,
Chocolate,Barra 80g,4.0,5.3,21.19,1.10%,Alimentos,10,2023,,,
Margarina,pote 500g,2.0,6.68,13.37,0.69%,Alimentos,10,2023,,,
Maçã,kg,12.0,10.46,125.52,6.49%,Alimentos,10,2023,,,
Achocolatado,Pacote 700g,1.0,13.52,13.52,0.70%,Alimentos,10,2023,,,
Feijão Carioca,Pacote 1KG,3.0,6.51,19.53,0.85%,Alimentos,10,2023,,,
Molho de tomate,Pacote 300g,16.0,1.91,30.59,1.58%,Alimentos,10,2023,,,
Macarrão Tipo 8,Pacote 500g,8.0,3.51,28.05,1.45%,Alimentos,10,2023,,,
Papel higiênico,fardo com 12,1.0,20.43,20.43,1.06%,Limpeza e Higiene,10,2023,,,
Pasta dente,90 Gramas,2.0,9.35,18.71,0.97%,Limpeza e Higiene,10,2023,,,
Detergente,Garrafa 500ml,4.0,2.13,8.5,0.44%,Limpeza e Higiene,10,2023,,,
Sabonete,Sabonete 80g,4.0,3.35,13.41,0.69%,Limpeza e Higiene,10,2023,,,
Papel Toalha,fardo c/ 2,1.0,5.83,23.3,1.20%,Limpeza e Higiene,10,2023,,,
Sabão em Pó,"1,6 kg",1.0,24.48,24.48,1.27%,Limpeza e Higiene,10,2023,,,
Shampoo,400ML,2.0,18.85,37.7,1.95%,Limpeza e Higiene,10,2023,,,
Álcool,Garrafa 1 litro,2.0,7.25,14.5,0.75%,Limpeza e Higiene,10,2023,,,
Arroz,Fardo 5Kg,2.0,34.76,66.120472,,Alimentos,11,2024,69.52,-4.89,
Feijão Preto,Pacote 1KG,3.0,8.31,24.690672,,Alimentos,11,2024,24.93,-0.96,
Açucar,Pacote 1KG,4.0,4.02,16.800384,,Alimentos,11,2024,16.08,4.48,
Sal,Pacote 1KG,1.0,2.64,2.529912,,Alimentos,11,2024,2.64,-4.17,
Café,Pacote 500g,3.0,23.09,73.412346,,Alimentos,11,2024,69.27,5.98,
Leite,Caixa 1 litro,36.0,5.06,186.477192,,Alimentos,11,2024,182.16,2.37,
Pão de Forma,Pacote 500g,10.0,7.11,60.49899,,Alimentos,11,2024,71.1,-14.91,
Óleo,Garrafa 900ml,2.0,7.61,16.279312,,Alimentos,11,2024,15.22,6.96,
Ovo,Caixa c/ 20,3.0,12.36,37.291356,,Alimentos,11,2024,37.08,0.57,
Batata,kg,5.0,6.04,32.39856,,Alimentos,11,2024,30.2,7.28,
Laranja,kg,3.0,7.92,24.090264,,Alimentos,11,2024,23.76,1.39,
Limão,kg,3.0,10.07,25.110552,,Alimentos,11,2024,30.21,-16.88,
Banana,kg,12.0,10.96,141.476064,,Alimentos,11,2024,131.52,7.57,
Peito de Frango,kg,6.5,21.7,140.59864,,Alimentos,11,2024,141.05,-0.32,
Coxa de Frango,kg,6.5,13.76,80.013024,,Alimentos,11,2024,89.44,-10.54,
Alcatra,kg,5.0,47.22,263.39316,,Alimentos,11,2024,236.1,11.56,
Coxão Mole,kg,5.0,43.56,224.59536,,Alimentos,11,2024,217.8,3.12,
Pernil,kg,3.0,17.25,78.69105,,Alimentos,11,2024,51.75,52.06,
Cebola,kg,3.0,2.82,9.480276,,Alimentos,11,2024,8.46,12.06,
Bisteca,kg,3.0,18.4,60.84144,,Alimentos,11,2024,55.2,10.22,
Filé de Merluza,kg,2.0,42.58,87.978796,,Alimentos,11,2024,85.16,3.31,
Tilapia,kg,2.0,58.07,121.459212,,Alimentos,11,2024,116.14,4.58,
Alface,Maço,15.0,3.61,64.649685,,Alimentos,11,2024,54.15,19.39,
Tomate,kg,10.0,5.37,55.60098,,Alimentos,11,2024,53.7,3.54,
Alho,kg,0.5,28.17,14.47043,,Alimentos,11,2024,14.09,2.7,
Refrigerante,Garrafa 2 litros,4.0,9.58,40.918096,,Alimentos,11,2024,38.32,6.78,
Chocolate,Barra 80g,4.0,6.59,21.638924,,Alimentos,11,2024,26.36,-17.91,
Margarina,pote 500g,2.0,6.11,13.599638,,Alimentos,11,2024,12.22,11.29,
Maçã,kg,12.0,14.94,182.399472,,Alimentos,11,2024,179.28,1.74,
Achocolatado,Pacote 700g,1.0,15.92,16.539288,,Alimentos,11,2024,15.92,3.89,
Feijão Carioca,Pacote 1KG,3.0,6.15,18.599445,,Alimentos,11,2024,18.45,0.81,
Molho de tomate,Pacote 300g,16.0,2.47,39.36192,,Alimentos,11,2024,39.52,-0.4,
Macarrão Tipo 8,Pacote 500g,8.0,3.9,31.35912,,Alimentos,11,2024,31.2,0.51,
Papel higiênico,fardo com 12,1.0,19.31,20.619218,,Limpeza e Higiene,11,2024,19.31,6.78,
Pasta dente,90 Gramas,2.0,3.48,7.60032,,Limpeza e Higiene,11,2024,6.96,9.2,
Detergente,Garrafa 500ml,4.0,2.07,8.719668,,Limpeza e Higiene,11,2024,8.28,5.31,
Sabonete,Sabonete 80g,4.0,2.98,12.519576,,Limpeza e Higiene,11,2024,11.92,5.03,
Papel Toalha,fardo c/ 2,4.0,7.73,26.278908,,Limpeza e Higiene,11,2024,30.92,-15.01,
Sabão em Pó,"1,6 kg",1.0,19.31,20.319913,,Limpeza e Higiene,11,2024,19.31,5.23,
Shampoo,400ML,2.0,26.52,54.461472,,Limpeza e Higiene,11,2024,53.04,2.68,
Álcool,Garrafa 1 litro,2.0,8.45,14.31937,,Limpeza e Higiene,11,2024,16.9,-15.27,
Arroz,Fardo 5Kg,2.0,31.68,63.36,2.53%,Alimentos,1,2025,64.44,-1.68%,-14.81%
Feijão Preto,Pacote 1KG,3.0,8.31,24.93,1.00%,Alimentos,1,2025,25.62,-2.69%,-18.72%
Açucar,Pacote 1KG,4.0,4.25,17.0,0.68%,Alimentos,1,2025,17.16,-0.93%,-16.07%
Sal,Pacote 1KG,1.0,2.51,2.51,0.10%,Alimentos,1,2025,2.44,2.87%,-12.11%
Café,Pacote 500g,3.0,28.1,84.3,3.37%,Alimentos,1,2025,76.59,10.07%,55.70%
Leite,Caixa 1 litro,36.0,4.92,177.12,7.08%,Alimentos,1,2025,183.24,-3.34%,1.99%
Pão de Forma,Pacote 500g,10.0,6.86,68.6,2.74%,Alimentos,1,2025,70.4,-2.56%,-15.05%
Óleo,Garrafa 900ml,2.0,8.05,16.1,0.64%,Alimentos,1,2025,16.08,0.12%,12.37%
Ovo,Caixa c/ 20,3.0,12.66,37.98,1.52%,Alimentos,1,2025,44.37,-14.40%,-14.43%
Batata,kg,5.0,4.31,21.55,0.86%,Alimentos,1,2025,20.8,3.61%,-61.54%
Laranja,kg,3.0,8.09,24.27,0.97%,Alimentos,1,2025,25.08,-3.23%,39.87%
Limão,kg,3.0,4.62,13.86,0.55%,Alimentos,1,2025,20.52,-32.46%,-30.63%
Banana,kg,12.0,12.1,145.2,5.81%,Alimentos,1,2025,141.48,2.63%,-5.23%
